Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
04699420289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;21/01/2013;MARINI SERVIZI SRL;35011;CAMPODARSEGO;0-2;;MANUTENZIONE E RIPARAZIONE DI MACCHINE DA MOVIMENTO TERRA, DA CAVA, DA CANTIERE - CHE NON VANNO SU STRADA - IN FORMA ITINERANTE,  MANUTENZIONE E RIPARAZIONE DI MACCHINE DA SOLLEVAMENTO E MOVIMENTAZIONE - CHE NON VANNO SU STRADA - IN FORMA ITINERANTE,  MONTAGGIO E SISTEMAZIONE DI CARROPONTE, COSTRUZIONI E LAVORAZIONI DI CARPENTERIA LEGGERA, VERNICIATURA A LIQUIDI DI MACCHINARI INDUSTRIALI, INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE,  MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI, POSTI AL SERVIZIO DEGLI EDIFICI, INDIPENDENTEMENTE DALLA DESTINAZIONE D'USO, COLLOCATI ALL'INTERNO DEGLI STESSI O DELLE RELATIVE PERTINENZE - D.M. 37/2008: LETT. A) IMPIANTI DI PRODUZIONE, TRASFORMAZIONE, TRASPORTO, DISTRIBUZIONE, UTILIZZAZIONE DELL'ENERGIA ELETTRICA, NONCHE' GLI IMPIANTI PER L'AUTOMAZIONE DI PORTE, CANCELLI E BARRIERE, (DAL 26/02/2013);33.12.99;Industrie meccaniche, metallurgiche ed elettroniche;VIA ANTONIANA, 62, 35011 CAMPODARSEGO PD;;;;;;;;;;
04244950285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;19/11/2007;MA.SA.FA. S.R.L.;35011;CAMPODARSEGO;10-49;;STAMPAGGIO METALLI A FREDDO, PRODUZIONE, ASSEMBLAGGIO E CONFEZIONAMENTO (DAL 01.03.2009), SERVIZI DI CONSULENZA AZIENDALE, COMMERCIALE, INFORMATICA, FORMAZIONE PROFESSIONALE ED ASSISTENZA IN MATERIA DI ORGANIZZAZIONE AZIENDALE, RICERCHE DI MERCATO (DAL 08.11.2007);24.33.02;Industrie meccaniche, metallurgiche ed elettroniche;VIA S. GIULIANO, 8, 35011 CAMPODARSEGO PD;;;;;;;;;;
04244950285;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;01/07/2017;MA.SA.FA. S.R.L.;35011;CAMPODARSEGO;10-49;;PROFILATURA MEDIANTE FORMATURA O PIEGATURA A FREDDO (DAL 01/07/2017);24.33.02;Industrie meccaniche, metallurgiche ed elettroniche;VIA FRATTINA, 26, 35011 CAMPODARSEGO PD;;;;;;;;;;
04244950285;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;15/03/2021;MA.SA.FA. S.R.L.;35011;CAMPODARSEGO;10-49;;STAMPAGGIO METALLI A FREDDO, PRODUZIONE, ASSEMBLAGGIO E CONFEZIONAMENTO SERVIZI DI CONSULENZA AZIENDALE, COMMERCIALE, INFORMATICA, FORMAZIONE PROFESSIONALE ED ASSISTENZA IN MATERIA DI ORGANIZZAZIONE AZIENDALE, RICERCHE DI MERCATO (DAL 15.03.2021);24.33.02;Industrie meccaniche, metallurgiche ed elettroniche;VIA FRATTINA, 28, 35011 CAMPODARSEGO PD;https://www.masafa.it/;campodarsego, fiumicello, stampaggio, reparto, sa, controllo, certificazioni, reschigliano, prodotti, assemblaggio, iniezione, piegatura, realizzazioni, stampi, plastica, finitura, saldatura, manutenzioni, trumpf, designed, gratuito, laser, lamiere, numero, button, fiumicello campodarsego, realizzazioni stampi, reschigliano campodarsego, plastica iniezione, manutenzioni realizzazioni;;en, it;;;;;;
03272800289;SEDE;SOCIETA' PER AZIONI;;30/10/1997;MASCHIO GASPARDO S.P.A.;35011;CAMPODARSEGO;250+;049/9289810;PRODUZIONE INDUSTRIALE DI MACCHINE, IMPIANTI ED ATTREZZATURA PER L'AGRICOLTURA, DEI RELATIVI ACCESSORI, PARTI O RICAMBI E ATTIVITA' CONNESSE, IVI INCLUSA L'ATTIVITA' DI ASSISTENZA TECNICA E RIPARAZIONE DI MACCHINE AGRICOLE,PARTI E RICAMBI;28.30.9;Industrie meccaniche, metallurgiche ed elettroniche;VIA MARCELLO, 73, 35011 CAMPODARSEGO PD;;;;;;;;;;
03272800289;UL;SOCIETA' PER AZIONI;;01/09/2015;MASCHIO GASPARDO S.P.A.;35011;CAMPODARSEGO;250+;;;28.30.9;Industrie meccaniche, metallurgiche ed elettroniche;VIA MARCELLO, 41, 35011 CAMPODARSEGO PD;;;;;;;;;;
03272800289;UL;SOCIETA' PER AZIONI;;19/02/2018;MASCHIO GASPARDO S.P.A.;35011;CAMPODARSEGO;250+;;;28.30.9;Industrie meccaniche, metallurgiche ed elettroniche;VIA MARCELLO, 63A, 35011 CAMPODARSEGO PD;;;;;;;;;;
04221030283;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;01/04/2012;MASTER COOL S.R.L.;35011;CAMPODARSEGO;3-9;;;28.25;Industrie meccaniche, metallurgiche ed elettroniche;VIA BOTTE, 40, 35011 CAMPODARSEGO PD;;;;;;;;;;
05180070285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;31/12/2018;M.C. DI COSTA MORENO SRL;35011;CAMPODARSEGO;10-49;;CARPENTERIA METALLICA CON LAVORAZIONE METALLICA PER CONTO PROPRIO E PER CONTO TERZI. PULIZIA CAMINI E FUMISTA. INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI, POSTI AL SERVIZIO DEGLI EDIFICI, INDIPENDENTEMENTE DALLA DESTINAZIONE D'USO, COLLOCATI ALL'INTERNO DEGLI STESSI O DELLE RELATIVE PERTINENZE - D.M. 37/2008: LETT. A) IMPIANTI DI PROTEZIONE CONTRO LE SCARICHE ATMOSFERICHE, LETT. B) IMPIANTI RADIOTELEVISIVI, LE ANTENNE E GLI IMPIANTI ELETTRONICI IN GENERE, LETT. C) IMPIANTI DI RISCALDAMENTO, DI CLIMATIZZAZIONE, DI CONDIZIONAMENTO DI QUALSIASI NATURA O SPECIE, COMPRESE LE OPERE DI EVACUAZIONE DEI PRODOTTI DELLA COMBUSTIONE E DELLE CONDENSE, E DI VENTILAZIONE ED AERAZIONE DEI LOCALI, LETT. E) IMPIANTI PER LA DISTRIBUZIONE E L'UTILIZZAZIONE DI GAS DI QUALSIASI TIPO, COMPRESE LE OPERE DI EVACUAZIONE DEI PRODOTTI DELLA COMBUSTIONE E VENTILAZIONE ED AERAZIONE DEI LOCALI, LETT. G) IMPIANTI DI PROTEZIONE ANTINCENDIO;25.11;Industrie meccaniche, metallurgiche ed elettroniche;VIA FRATTINA, 44, 35011 CAMPODARSEGO PD;;;;;;;;;;
04961110287;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;11/02/2016;MCZ PROJECT S.A.S. DI MARCO CALZAVARA & C.;35011;CAMPODARSEGO;0-2;;FABBRICAZIONE DI PORTE, FINESTRE E LORO TELAI, IMPOSTE E CANCELLI METALLICI ULTERIORI SPECIFICHE: PROGETTAZIONE, PRODUZIONE E DISTRIBUZIONE DI SISTEMI CONTRO LA PENETRAZIONE DI ACQUA E SABBIA ALL'INTERNO DI EDIFICI;25.11;Industrie meccaniche, metallurgiche ed elettroniche;VIA TERGOLA, 41, 35011 CAMPODARSEGO PD;https://www.acquadefender.it/;paratie, acquadefender, test, ordine, domande, spedizioni, soddisfazione, rivendita, anti, allagamento, paratia, padova, antiallagamento, sistema, pagamenti, produzione, ordini, feedback, frequenti, tecniche, questionario, modelli, disponibili, manuali, brevettato, anti allagamento, paratie anti, domande frequenti, allagamento acquadefender, questionario soddisfazione;True;it;;;;;;
04666740289;SEDE;SOCIETA' COOPERATIVA;;31/07/2012;MECCANICA DI PRECISIONE SOCIETA' COOPERATIVA;35011;CAMPODARSEGO;3-9;;LAVORAZIONI MECCANICHE CONTO TERZI CON CENTRI DI LAVORO E CON MACCHINE A CONTROLLO NUMERICO;25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA PIOGA, 81, 35011 CAMPODARSEGO PD;http://www.mdp-manufacturing.it/;prodotti, precisione, attrezzature, mdp, meccanica, coop, misura, cono, multipallet, tavola, macchina, cambio, vast, lavorazioni, testa, misurazioni, riduttori, bordo, scatole, zeiss, assali, carter, esterni, interno, imballo, meccanica precisione, precisione coop, mdp meccanica, cono multipallet, misurazioni bordo;False;it;;;;;;
04341040261;UL;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;02/12/2010;MEKANO S.R.L.;35011;CAMPODARSEGO;;; LAVORAZIONI DI MECCANICA (FUSIONI GREZZE) IN PARTICOLARE ASPORTAZIONE DI TRUCIOLI IN GHISA (DAL 02.12.2010);25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA BOTTE, 40, 35011 CAMPODARSEGO PD;;;;;;;;;;
03326380288;SEDE;SOCIETA' IN NOME COLLETTIVO;;21/04/1998;METAL CLEAN S.N.C. DI BONETTO ANGELINO E C.;35011;CAMPODARSEGO;0-2;049/5564822;PULITURA METALLI VARI E LAVORI AFFINI (DALL'01/04/1998).;25.61;Industrie meccaniche, metallurgiche ed elettroniche;VIA PANIGALE, 25, 35011 CAMPODARSEGO PD;https://www.metalclean.it/;metalli, pulitura, lucidatura, satinatura, metal, clean, padova, decapaggio, specchio, venezia, sbiancatura, saldature, alluminio, rame, ottone, treviso, campodarsego, panigale, rendere, materiali, trattamento, lucidi, serve, acciaio, disegnografico, pulitura metalli, metal clean, lucidatura metalli, satinatura metalli, decapaggio sbiancatura;;it;;;;;;
05301330287;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;03/07/2020;METALSCA SRL;35011;CAMPODARSEGO;0-2;;FABBRICAZIONE DI STRUTTURE METALLICHE E DI PARTI DI STRUTTURE (DAL 14/07/2020);25.11;Industrie meccaniche, metallurgiche ed elettroniche;VIA DE TONI, 48, 35011 CAMPODARSEGO PD;;;;;;;;;;
02430100285;SEDE;IMPRESA INDIVIDUALE;;08/02/1991;M.G. DI MAGGIOLO GIAMPIETRO;35011;CAMPODARSEGO;3-9;049/9200332;ATTIVITA': OFFICINA MECCANICA DI CARPENTERIA LEGGERA E TORNERIA MECCANICA E FILATURA UTENSILI (ESCLUSO LEGGE  122/92) (DAL 15/1/1991) OFFICINA MECCANICA DI TORNERIA E FRESATURA CON CENTRO DI LAVORO (DAL 01.12.2005);25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA BOSCO I, 6/A, 35011 CAMPODARSEGO PD;;;;;;;;;;
05426560289;SEDE;IMPRESA INDIVIDUALE;;04/02/2022;MICROSIGMA P.R. DI RIGHETTO PIETRO;35011;CAMPODARSEGO;;;FABBRICAZIONE DI ALTRE MACCHINE PER L'AGRICOLTURA, LA SILVICOLTURA E LA ZOOTECNIA;28.30.9;Industrie meccaniche, metallurgiche ed elettroniche;VIA PIAVE, 19, 35011 CAMPODARSEGO PD;;;;;;;;;;
03219760281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;30/10/2002;MINUSTAR S.R.L.;35011;CAMPODARSEGO;0-2;;TONERIA MECCANICA (DAL 01.01.1997).;25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA BAZZATI, 48, 35011 CAMPODARSEGO PD;;;;;;;;;;
05144150280;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;07/06/2018;M.M. SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35011;CAMPODARSEGO;0-2;;LA PRODUZIONE, INSTALLAZIONE E MANUTENZIONE DI MOLINI, AFFINI ED ALTRI MACCHINARI IN GENERE.;33.12.99;Industrie meccaniche, metallurgiche ed elettroniche;VIA ANTONIANA, 210/V, 35011 CAMPODARSEGO PD;;;;;;;;;;
05003250288;SEDE;IMPRESA INDIVIDUALE;;23/08/2016;MOBILIFICIO G.L.G. DI GNOATO MARINO;35011;CAMPODARSEGO;;;FABBRICAZIONE DI MOBILI PER CUCINA ULTERIORI SPECIFICHE: PRODUZIONE MOBILI IN LEGNO E LAMINATO PLASTICO;31.02;Industrie del legno, dell'arredo e della carta;VIA BASSA III, 54, 35011 CAMPODARSEGO PD;;;;;;;;;;
04989080280;SEDE;IMPRESA INDIVIDUALE;;07/06/2016;MOBILNAUTICA DI GRASSIVARO LUCIO;35011;CAMPODARSEGO;0-2;;RIPARAZIONE E MANUTENZIONE BARCHE DA DIPORTO;33.15;Industrie meccaniche, metallurgiche ed elettroniche;VIA PASCOLI, 25/B, 35011 CAMPODARSEGO PD;;;;;;;;;;
01213240268;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;10/12/2018;MOLINO VOLPATO S.R.L.;35011;CAMPODARSEGO;3-9;;MOLINO (DAL 03/11/1995);10.61.1;Industrie alimentari, delle bevande e del tabacco;VIA OLMO, 94, 35011 CAMPODARSEGO PD;;;;;;;;;;
03335670281;SEDE;SOCIETA' IN NOME COLLETTIVO;;02/06/1998;MOLLIFICIO ZANDARIN S.N.C. DI ZANDARIN OSCAR, GIAMPAOLO & C.;35011;CAMPODARSEGO;3-9;049/5564483;PRODUZIONE MATERASSI BOX SEMIFINITI CON MOLLE INSACCHETTATE E/O STANDARD SENZA RIVESTIMENTO/FODERA FINALE;31.03;Industrie del legno, dell'arredo e della carta;VIA ARZARI, 4, 35011 CAMPODARSEGO PD;;;;;;;;;;
04716270287;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;01/03/2013;MORO IMPIANTI SRL;35011;CAMPODARSEGO;10-49;;INSTALLAZIONE, ASSEMBLAGGIO, MANUTENZIONE E RIPARAZIONE DI MACCHINE UTENSILI E ACCESSORI.;33.12.1;Industrie meccaniche, metallurgiche ed elettroniche;VIA PONTAROLA, 78/1, 35011 CAMPODARSEGO PD;;;;;;;;;;
00663250280;SEDE;SOCIETA' PER AZIONI;;17/01/1977;MOROCOLOR ITALIA S.P.A.;35011;CAMPODARSEGO;50-249;049/9201190;FABBRICAZIONE DI COLLE PER UFFICIO, COLORI A TEMPERA, ACQUERELLO ED OLIO, PASTEL LI, PRODOTTI DI CANCELLERIA E DIDATTICI, GESSO PER LAVAGNA (DAL 8.6.1979);20.52;Industrie chimiche, plastiche e farmaceutiche;VIA BASSA PRIMA, 224, 35011 CAMPODARSEGO PD;https://www.morocolor.it/;colori, colore, morocolor, acrilico, olio, pastelli, pennelli, circondiamocidarte, cera, acquerello, tempera, padova, tessuto, pittura, box, paste, bottiglia, matite, colla, opere, pennarelli, big, reyer, buyer, disegno, colore acrilico, big buyer, pastelli cera, colore tessuto, triangoli cera;True;de, en, it, fr;https://www.facebook.com/coloriprimo/;;https://www.linkedin.com/company/morocolor-italia-s.p.a./;https://www.youtube.com/c/MorocolorItaliaSpA_Primo/;;https://www.instagram.com/coloriprimo/
00663250280;UL;SOCIETA' PER AZIONI;;02/09/2013;MOROCOLOR ITALIA S.P.A.;35011;CAMPODARSEGO;50-249;;PRODUZIONE DI GESSO(DAL 01/09/2019);23.52.2;Industrie meccaniche, metallurgiche ed elettroniche;VIA GALVANI, 7, 35011 CAMPODARSEGO PD;https://www.morocolor.it/;colori, colore, morocolor, acrilico, olio, pastelli, pennelli, circondiamocidarte, cera, acquerello, tempera, padova, tessuto, pittura, box, paste, bottiglia, matite, colla, opere, pennarelli, big, reyer, buyer, disegno, colore acrilico, big buyer, pastelli cera, colore tessuto, triangoli cera;True;de, en, it, fr;https://www.facebook.com/coloriprimo/;;https://www.linkedin.com/company/morocolor-italia-s.p.a./;https://www.youtube.com/c/MorocolorItaliaSpA_Primo/;;https://www.instagram.com/coloriprimo/
00663250280;UL;SOCIETA' PER AZIONI;;01/03/2016;MOROCOLOR ITALIA S.P.A.;35011;CAMPODARSEGO;50-249;;FABBRICAZIONE DI OGGETTI DI CANCELLERIA (DAL 01/03/2016);32.99.3;Altre industrie manifatturiere;VIA GALVANI, 5, 35011 CAMPODARSEGO PD;https://www.morocolor.it/;colori, colore, morocolor, acrilico, olio, pastelli, pennelli, circondiamocidarte, cera, acquerello, tempera, padova, tessuto, pittura, box, paste, bottiglia, matite, colla, opere, pennarelli, big, reyer, buyer, disegno, colore acrilico, big buyer, pastelli cera, colore tessuto, triangoli cera;True;de, en, it, fr;https://www.facebook.com/coloriprimo/;;https://www.linkedin.com/company/morocolor-italia-s.p.a./;https://www.youtube.com/c/MorocolorItaliaSpA_Primo/;;https://www.instagram.com/coloriprimo/
04994700286;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;19/07/2016;NAIZIL S.R.L.;35011;CAMPODARSEGO;10-49;;FABBRICAZIONE DI ALTRI ARTICOLI TESSILI TECNICI, INDUSTRIALI;13.96.2;Industrie tessili e di abbigliamento;VIA PONTAROLA, 17, 35011 CAMPODARSEGO PD;https://www.naizil.com/;naizil, prodotti, laccatura, trattamenti, cover, tessuti, soleil, protetti, visione, confermo, preso, pvc, autoestinguente, biogas, teloni, eco, mesh, circhi, rotofluo, crystal, industriali, rivestiti, campodarsego, accanto, architecture, naizil cover, naizil soleil, preso visione, confermo preso, autoestinguente laccatura;True;es, de, it, en, fr;https://it-it.facebook.com/naizilsrl/;;https://it.linkedin.com/company/naizil-srl;;;
00863220281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;18/06/1979;NAIZIL S.R.L. IN LIQUIDAZIONE;35011;CAMPODARSEGO;0-2;049/5566555;PRODUZIONE E COMMERCIO IN PROPRIO E PER TERZI DI TESSUTI E DI MATERIE PLASTICHE, DEI PRODOTTI DELLA LORO TRASFORMAZIONE, SPALMATURA, ACCOPPIAMENTO E CONFEZIONE (DAL 15.05.1979).;13.2;Industrie tessili e di abbigliamento;VIA PONTAROLA, 17, 35011 CAMPODARSEGO PD;;;;;;;;;;
04882640289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;26/02/2015;NEW ENERGY SRL;35011;CAMPODARSEGO;3-9;;CONFEZIONI ABBIGLIAMENTO IN GENERE, STIRERIA;14.13.1;Industrie tessili e di abbigliamento;VIA ANTONIANA, 308, 35011 CAMPODARSEGO PD;https://newenergymoda.it/;energy, passione, accettare, tessuti, garantirti, scorrendo, elemento, invia, protected, visione, campodarsego, modelliste, parti, partita, dichiari, cura, antoniana, preso, settore, confezionamento, scelto, apertura, professionale, processo, modelli, energy scelto, visione accettare, antoniana campodarsego, invia dichiari, parti garantirti;True;en, it;https://facebook.com;;https://linkedin.com;;;https://instagram.com
04946090281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;29/12/2015;NEW KROME SRL;35011;CAMPODARSEGO;10-49;;TRATTAMENTO E RIVESTIMENTO DEI METALLI;25.61;Industrie meccaniche, metallurgiche ed elettroniche;VIA OLMO, 80, 35011 CAMPODARSEGO PD;;;;;;;;;;
02478410281;SEDE;IMPRESA INDIVIDUALE;;25/07/1991;NEW PROJECT ARREDAMENTI DI DARIO FRANCESCO;35011;CAMPODARSEGO;0-2;049/5565991;ATTIVITA': FABBRICAZIONE ARREDAMENTI IN LEGNO (DAL 16/07/1991).;31;Industrie del legno, dell'arredo e della carta;VIA PIOGA, 12/A, 35011 CAMPODARSEGO PD;https://www.newprojectarredamenti.it/;arredamenti, letto, produzione, living, adjectives, camere, invia, pareti, specialisti, francesco, campodarsego, dario, accettare, bdf, arredamento, dichiaro, pioga, porte, librerie, communication, attrezzate, cucine, interni, dichiaro letto, pareti attrezzate, francesco dario, arredamento interni, bdf communication;;it;;;;;;
04120170289;SEDE;SOCIETA' COOPERATIVA;;09/06/2006;NEW WOOD - SOCIETA' COOPERATIVA IN LIQUIDAZIONE;35011;CAMPODARSEGO;0-2;;PRODUZIONE DI FUSTI PER SALOTTI, POLTRONE E DIVANI, NONCHE' LAVORI DI FALEGNAMERIA IN GENERE (DAL 10.07.2006).;31.09.4;Industrie del legno, dell'arredo e della carta;VIA PONTAROLA, 49/B, 35011 CAMPODARSEGO PD;;;;;;;;;;
03778220289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;27/12/2002;NI.VA. S.R.L.;35011;CAMPODARSEGO;10-49;;PRODUZIONE ED INSTALLAZIONE DI SCALE E SOPPALCHI, CARPENTERIE LEGGERE E PESANTI;25.11;Industrie meccaniche, metallurgiche ed elettroniche;VIA C. COLOMBO, 9, 35011 CAMPODARSEGO PD;https://www.niva-line.it/;consent, category, year, plugin, analytics, cookielawinfo, checkbox, visitatori, performance, fornire, annunci, durata, record, niva, analitici, installed, visitors, padova, piace, abitazione, surfaces, store, portfolio, certificazioni, report, consent plugin, cookielawinfo checkbox, consent category, plugin record, record consent;True;en, it, fr;https://www.facebook.com/NivaArchitecturalElements/;https://twitter.com/NIVA_line;https://www.linkedin.com/company/ni-va-s-r-l;https://www.youtube.com/channel/UCT94UZvTVbQ3R1C82xgYu8Q;https://it.pinterest.com/nivasrl/;https://www.instagram.com/niva_line/
04060330281;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;24/11/2005;NONFANGO.COM S.R.L.;35011;CAMPODARSEGO;0-2;;;15.12;Industrie tessili e di abbigliamento;VIA BASSA PRIMA, 211, 35011 CAMPODARSEGO PD;;;;;;;;;;
02610970283;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;21/07/1995;NORDITALIA RESINE - INDUSTRIA LAVORAZIONE RESINE E GOMME SINTETICHE NATURALI E AFFINI S.R.L. IN FORMA ABBREVIATA NIR S.R.L.;35011;CAMPODARSEGO;10-49;049/5564644; LE ATTIVITA' DELLE MATERIE PLASTICHE NONCHE' QUELLE AFFINI E DERIVATE ED IN PARTICOLARE  QUELLE RELATIVE AD ARTICOLI PLASTICI, ELASTICI, INDURITI, ESPANSI E AFFINI (DAL 02.05.1995);22.2;Industrie chimiche, plastiche e farmaceutiche;VIA ANTONIANA, 48, 35011 CAMPODARSEGO PD;;;;;;;;;;
04946500289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;22/12/2015;NUOVA BELLINI CONFEZIONI SRL;35011;CAMPODARSEGO;10-49;;PRODUZIONE DI CONFEZIONI DI ABBIGLIAMENTO;14.19.29;Industrie tessili e di abbigliamento;VIA GALILEO FERRARIS, 17, 35011 CAMPODARSEGO PD;;;;;;;;;;
04695450280;SEDE;SOCIETA' IN NOME COLLETTIVO;;09/01/2013;NUOVA PRINED S.N.C. DI GIACOMETTI GIANNI E LOREGIAN PAOLO ANGELO;35011;CAMPODARSEGO;3-9;;SABBIATURA, VERNICIATURA INDUSTRIALE ED EDILE, RESTAURI EDILI;25.61;Industrie meccaniche, metallurgiche ed elettroniche;VIA FRATTINA, 72, 35011 CAMPODARSEGO PD;;;;;;;;;;
03539690283;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;20/06/2000;NUOVA TECNOINFISSI SRL;35011;CAMPODARSEGO;3-9;049/5566272; COSTRUZIONE, LAVORAZIONE E INSTALLAZIONE DI SERRAMENTI IN ALLUMINIO ED ALTRE LEGHE METALLICHE (DAL 04/07/2000);25.12.1;Industrie meccaniche, metallurgiche ed elettroniche;VIA C. COLOMBO, 16, 35011 CAMPODARSEGO PD;;;;;;;;;;
01908990284;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;UMEVENETO@LIBERO.IT;18/10/1984;NUOVA UME VENETO S.R.L.;35011;CAMPODARSEGO;10-49;049/556416;TRASFORMAZIONE DI SCHIUME FLESSIBILI POLIURETANICHE, PRODUZIONE DI SCHIUMATI A FREDDO (DAL 18.10.1984)IMBOTTITURA PER DIVANI  LOCAZIONE DI BENI IMMOBILI PROPRI (DAL 01.06.2005).;22.2;Industrie chimiche, plastiche e farmaceutiche;VIA PIOGA, 24, 35011 CAMPODARSEGO PD;;;;;;;;;;
03202710285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;09/10/1996;PINTONELLO S.R.L.;35011;CAMPODARSEGO;0-2;049/5564744;FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE ED ALTRO MATERIALE MECCANICO (DAL 01/10/1996).;28.29.9;Industrie meccaniche, metallurgiche ed elettroniche;VIA GARELLI, 20, 35011 CAMPODARSEGO PD;http://www.pintonellosrl.it/;pintonello, campodarsego, precisione, officina, metalmeccanica, fiumicello, garelli, padova, macchinari, acciaio, lavorazioni, fresatura, terzi, torneria, prodotti, minuteria, conto, unico, socio, lavorati, cnc, produzione, nylon, rame, ottone, fiumicello campodarsego, garelli fiumicello, metalmeccanica precisione, officina metalmeccanica, conto terzi;False;it;;;;;;
03844820286;SEDE;IMPRESA INDIVIDUALE;;04/09/2003;PM DI PIERETTO LUCA;35011;CAMPODARSEGO;0-2;; OFFICINA MECCANICA DI FORATURA - SBAVATURA E SALDATURA PARTI MECCANICHE (DAL 04.08.2003);25.62;Industrie meccaniche, metallurgiche ed elettroniche;VIA E. TOTI, 26, 35011 CAMPODARSEGO PD;;;;;;;;;;
00273840280;SEDE;SOCIETA' IN NOME COLLETTIVO;;15/10/1976;PML  DI BONALDO PIETRO & C. S.N.C.;35011;CAMPODARSEGO;3-9;049/5564533;LABORATORIO DI FALEGNAMERIA, PRODUZIONE DI MOBILI E PARTI DI MOBILI PER UFFICIO E PER ARREDAMENTO E DI OGGETTI DI ARREDAMENTO, COMMERCIO AL MINUTO DI MOBILI PER UFFICIO, ATREZZATURE ED ARREDAMENTI;16.23.2;Industrie del legno, dell'arredo e della carta;VIA LONGHIN, 35, 35011 CAMPODARSEGO PD;https://www.pmloffice.it/;ufficio, tavoli, direzionale, sedie, pareti, scrivanie, reception, riunione, direzionali, pannelli, banconi, armadi, oxi, riunioni, gambe, sedute, divisori, pml, office, forsit, vetro, universali, element, dinamici, fono, tavoli riunione, banconi reception, sedie ufficio, tavoli riunioni, pannelli divisori;True;it;https://it-it.facebook.com/pmloffice;;;;;
01505400281;SEDE;SOCIETA' PER AZIONI;;05/05/1981;POLITECNICA 80 S.P.A.;35011;CAMPODARSEGO;10-49;049/700911;COSTRUZIONE DI APPARECCHIATURE ELETTRICHE, MECCANICHE ED ELETTROMECCANICHE (DAL 1.1.1981).;27.90.09;Industrie meccaniche, metallurgiche ed elettroniche;VIA PONTAROLA, 9/A, 35011 CAMPODARSEGO PD;https://www.politecnica80.com/;alzacristalli, elettrici, garanzia, produzione, politecnica, eventi, padova, motore, meccanismo, centralina, avant, leve, vitres, campodarsego, domenica, pontarola, fornitori, lingua, pl, toggle, alzavetri, rover, prodotti, ricerca, autolift, alzacristalli elettrici, produzione alzacristalli, elettrici motore, elettrici centralina, elettrici meccanismo;True;es, pl, de, it, en, fr;;;;;;
00155610280;SEDE;IMPRESA INDIVIDUALE;;20/05/1994;POLTRONA EMME DI MICHELE LINCETTO;35011;CAMPODARSEGO;10-49;; FABBRICAZIONE DI POLTRONE E DIVANI (DALL'01.04.1994);31.09.3;Industrie del legno, dell'arredo e della carta;VIA FRATTINA, 28, 35011 CAMPODARSEGO PD;https://poltronaemme.com/;outdoor, fishing, michele, prodotto, poltrona, lincetto, produzione, emme, unici, lusso, design, lncmhl, ufficio, contatteremo, bottega, ambienti, spazi, obbligatori, settore, compila, misura, committenza, sala, lavorare, saper, fishing outdoor, michele lincetto, realizziamo arredi, processo prodotto, finito imballato;False;en, it;https://www.facebook.com/PoltronaEmme/;;;;;
